series,I,u_I,t,u_t
1,80,1.5,2.04,0.4
1,70,1.5,2.74,0.4
1,60,1.5,3.12,0.4
1,50,1.5,4.17,0.4
1,40,1.5,5.14,0.4
1,30,1.5,6.56,0.4
1,20,1.5,8.37,0.4
1,10,1.5,11.77,0.4
2,80,1.5,1.92,0.4
2,70,1.5,2.52,0.4
2,60,1.5,3.17,0.4
2,50,1.5,3.99,0.4
2,40,1.5,5.01,0.4
2,30,1.5,6.51,0.4
2,20,1.5,8.37,0.4
2,10,1.5,11.57,0.4
3,80,1.5,1.88,0.4
3,70,1.5,2.59,0.4
3,60,1.5,3.10,0.4
3,50,1.5,4.01,0.4
3,40,1.5,5.01,0.4
3,30,1.5,6.41,0.4
3,20,1.5,8.29,0.4
3,10,1.5,11.56,0.4
4,80,1.5,3.15,0.4
4,70,1.5,3.91,0.4
4,60,1.5,4.42,0.4
4,50,1.5,5.29,0.4
4,40,1.5,6.34,0.4
4,30,1.5,7.73,0.4
4,20,1.5,9.66,0.4
4,10,1.5,12.97,0.4
5,80,1.5,1.62,0.4
5,70,1.5,2.34,0.4
5,60,1.5,2.82,0.4
5,50,1.5,3.74,0.4
5,40,1.5,4.76,0.4
5,30,1.5,6.17,0.4
5,20,1.5,8.09,0.4
5,10,1.5,11.30,0.4
