series,I,u_I,t,u_t
1,80,1.5,1.23,0.4
1,70,1.5,6.97,0.4
1,60,1.5,15.56,0.4
1,50,1.5,26.97,0.4
1,40,1.5,41.45,0.4
1,30,1.5,61.50,0.4
1,20,1.5,88.71,0.4
1,10,1.5,138.14,0.4
2,80,1.5,1.77,0.4
2,70,1.5,7.02,0.4
2,60,1.5,15.49,0.4
2,50,1.5,27.35,0.4
2,40,1.5,42.00,0.4
2,30,1.5,62.47,0.4
2,20,1.5,90.79,0.4
2,10,1.5,140.51,0.4
3,80,1.5,2.58,0.4
3,70,1.5,8.25,0.4
3,60,1.5,17.00,0.4
3,50,1.5,28.62,0.4
3,40,1.5,43.43,0.4
3,30,1.5,63.89,0.4
3,20,1.5,91.44,0.4
3,10,1.5,141.36,0.4
4,80,1.5,1.62,0.4
4,70,1.5,7.93,0.4
4,60,1.5,16.99,0.4
4,50,1.5,28.76,0.4
4,40,1.5,43.41,0.4
4,30,1.5,63.49,0.4
4,20,1.5,91.14,0.4
4,10,1.5,141.06,0.4
5,80,1.5,2.11,0.4
5,70,1.5,8.59,0.4
5,60,1.5,17.73,0.4
5,50,1.5,29.32,0.4
5,40,1.5,44.00,0.4
5,30,1.5,64.34,0.4
5,20,1.5,92.25,0.4
5,10,1.5,141.62,0.4
