series,I,u_I,t,u_t
1,80,1.5,2.96,0.4
1,70,1.5,3.62,0.4
1,60,1.5,4.14,0.4
1,50,1.5,4.97,0.4
1,40,1.5,5.94,0.4
1,30,1.5,7.23,0.4
1,20,1.5,9.08,0.4
1,10,1.5,12.01,0.4
2,80,1.5,1.94,0.4
2,70,1.5,2.52,0.4
2,60,1.5,3.16,0.4
2,50,1.5,3.93,0.4
2,40,1.5,4.84,0.4
2,30,1.5,6.24,0.4
2,20,1.5,8.04,0.4
2,10,1.5,11.02,0.4
3,80,1.5,1.40,0.4
3,70,1.5,2.10,0.4
3,60,1.5,2.66,0.4
3,50,1.5,3.57,0.4
3,40,1.5,4.35,0.4
3,30,1.5,5.59,0.4
3,20,1.5,7.42,0.4
3,10,1.5,10.35,0.4
4,80,1.5,1.43,0.4
4,70,1.5,2.18,0.4
4,60,1.5,2.72,0.4
4,50,1.5,3.56,0.4
4,40,1.5,4.44,0.4
4,30,1.5,5.76,0.4
4,20,1.5,7.54,0.4
4,10,1.5,10.54,0.4
5,80,1.5,2.23,0.4
5,70,1.5,2.88,0.4
5,60,1.5,3.47,0.4
5,50,1.5,4.36,0.4
5,40,1.5,5.22,0.4
5,30,1.5,6.37,0.4
5,20,1.5,8.26,0.4
5,10,1.5,11.29,0.4
