x_screen,u_x_screen,color,x_large,u_x_large,x_small,u_x_small
70.0,0.1,red,143.8,0.5,96.5,0.5
70.0,0.1,red,144.2,0.5,96.5,0.5
70.0,0.1,red,144.9,0.5,96.6,0.5
70.0,0.1,red,144.1,0.5,96.5,0.5
70.0,0.1,blue,144.5,0.5,95.9,0.5
70.0,0.1,blue,144.6,0.5,95.4,0.5
70.0,0.1,blue,144.6,0.5,94.9,0.5
70.0,0.1,blue,144.9,0.5,95.3,0.5
50.0,0.1,red,145.9,0.5,74.5,0.5
50.0,0.1,red,145.8,0.5,74.6,0.5
50.0,0.1,red,145.8,0.5,74.4,0.5
50.0,0.1,red,145.8,0.5,74.5,0.5
50.0,0.1,blue,146.7,0.5,74.0,0.5
50.0,0.1,blue,146.5,0.5,74.0,0.5
50.0,0.1,blue,146.9,0.5,73.9,0.5
50.0,0.1,blue,146.6,0.5,73.6,0.5
