x_screen,u_x_screen,x_large,u_x_large,x_small,u_x_small
110.0,0.1,161.5,0.2,118.7,0.2
110.0,0.1,161.4,0.2,118.5,0.2
110.0,0.1,161.4,0.2,118.6,0.2
110.0,0.1,161.5,0.2,118.7,0.2
110.0,0.1,161.1,0.2,118.2,0.2
110.0,0.1,161.2,0.2,118.2,0.2
110.0,0.1,161.3,0.2,118.3,0.2
110.0,0.1,161.2,0.2,118.2,0.2
120.0,0.1,161.2,0.2,129.1,0.2
120.0,0.1,161.2,0.2,129.2,0.2
120.0,0.1,161.3,0.2,129.0,0.2
120.0,0.1,161.1,0.2,129.0,0.2
120.0,0.1,160.9,0.2,128.7,0.2
120.0,0.1,161.0,0.2,128.8,0.2
120.0,0.1,160.8,0.2,128.8,0.2
120.0,0.1,160.8,0.2,128.7,0.2
130.0,0.1,160.7,0.2,139.4,0.2
130.0,0.1,160.6,0.2,139.2,0.2
130.0,0.1,160.7,0.2,139.3,0.2
130.0,0.1,160.8,0.2,139.4,0.2
130.0,0.1,160.3,0.2,139.0,0.2
130.0,0.1,160.4,0.2,139.1,0.2
130.0,0.1,160.3,0.2,139.1,0.2
130.0,0.1,160.5,0.2,139.0,0.2
