x_screen,u_x_screen,x_large,u_x_large,x_small,u_x_small
110.0,0.1,159.9,0.2,120.0,0.2
110.0,0.1,160.0,0.2,120.0,0.2
110.0,0.1,160.0,0.2,120.0,0.2
110.0,0.1,160.0,0.2,120.0,0.2
110.0,0.1,159.5,0.2,119.6,0.2
110.0,0.1,159.6,0.2,119.7,0.2
110.0,0.1,159.5,0.2,119.8,0.2
110.0,0.1,159.6,0.2,119.6,0.2
120.0,0.1,158.9,0.2,130.7,0.2
120.0,0.1,159.0,0.2,130.7,0.2
120.0,0.1,158.9,0.2,130.6,0.2
120.0,0.1,159.0,0.2,130.7,0.2
120.0,0.1,159.0,0.2,130.4,0.2
120.0,0.1,159.2,0.2,130.3,0.2
120.0,0.1,159.0,0.2,130.5,0.2
120.0,0.1,159.1,0.2,130.3,0.2
130.0,0.1,158.0,0.2,141.8,0.2
130.0,0.1,158.3,0.2,141.6,0.2
130.0,0.1,158.2,0.2,141.6,0.2
130.0,0.1,158.0,0.2,141.8,0.2
130.0,0.1,158.0,0.2,141.3,0.2
130.0,0.1,158.0,0.2,141.4,0.2
130.0,0.1,157.9,0.2,141.3,0.2
130.0,0.1,158.0,0.2,141.4,0.2
