x_screen,u_x_screen,diaphragm,x_large,u_x_large,x_small,u_x_small
70.0,0.1,peripheral,146.7,0.5,91.0,0.5
70.0,0.1,peripheral,147.1,0.5,91.0,0.5
70.0,0.1,peripheral,146.6,0.5,90.8,0.5
70.0,0.1,peripheral,146.7,0.5,91.5,0.5
70.0,0.1,paraxial,142.9,0.5,98.4,0.5
70.0,0.1,paraxial,142.6,0.5,98.9,0.5
70.0,0.1,paraxial,142.6,0.5,99.2,0.5
70.0,0.1,paraxial,142.2,0.5,98.9,0.5
50.0,0.1,peripheral,148.0,0.5,69.0,0.5
50.0,0.1,peripheral,147.9,0.5,69.7,0.5
50.0,0.1,peripheral,148.0,0.5,69.5,0.5
50.0,0.1,peripheral,148.1,0.5,69.4,0.5
50.0,0.1,paraxial,144.5,0.5,76.7,0.5
50.0,0.1,paraxial,144.9,0.5,76.9,0.5
50.0,0.1,paraxial,144.5,0.5,76.8,0.5
50.0,0.1,paraxial,144.9,0.5,76.8,0.5
