theta,u_theta,I,u_I
-90,1,2.62,0.1
-85,1,4.09,0.1
-80,1,6.05,0.1
-75,1,8.39,0.1
-70,1,11.25,0.1
-65,1,14.23,0.1
-60,1,17.91,0.1
-55,1,21.23,0.1
-50,1,24.88,0.1
-45,1,28.48,0.1
-40,1,31.73,0.1
-35,1,34.62,0.1
-30,1,37.42,0.1
-25,1,39.52,0.1
-20,1,40.71,0.1
-15,1,41.50,0.1
-10,1,42.12,0.1
-5,1,41.95,0.1
0,1,40.94,0.1
5,1,39.36,0.1
10,1,37.05,0.1
15,1,34.75,0.1
20,1,31.70,0.1
25,1,28.37,0.1
30,1,24.64,0.1
35,1,21.20,0.1
40,1,17.78,0.1
45,1,14.33,0.1
50,1,11.14,0.1
55,1,8.24,0.1
60,1,5.82,0.1
65,1,3.96,0.1
70,1,2.57,0.1
75,1,1.78,0.1
80,1,1.61,0.1
85,1,2.02,0.1
90,1,3.06,0.1
