theta,u_theta,I,u_I
-90,1,10.01,0.1
-85,1,8.30,0.1
-80,1,6.98,0.1
-75,1,6.19,0.1
-70,1,5.82,0.1
-65,1,5.99,0.1
-60,1,6.67,0.1
-55,1,7.89,0.1
-50,1,9.53,0.1
-45,1,11.68,0.1
-40,1,13.99,0.1
-35,1,16.65,0.1
-30,1,19.55,0.1
-25,1,22.56,0.1
-20,1,25.57,0.1
-15,1,28.39,0.1
-10,1,31.35,0.1
-5,1,33.71,0.1
0,1,33.94,0.1
5,1,35.71,0.1
10,1,36.94,0.1
15,1,38.21,0.1
20,1,38.37,0.1
25,1,38.16,0.1
30,1,37.63,0.1
35,1,36.89,0.1
40,1,35.34,0.1
45,1,33.46,0.1
50,1,31.01,0.1
55,1,28.47,0.1
60,1,25.61,0.1
65,1,22.92,0.1
70,1,20.03,0.1
75,1,17.18,0.1
80,1,14.65,0.1
85,1,12.22,0.1
90,1,10.24,0.1
