theta,u_theta,I,u_I
-90,1,0.04,0.1
-88,1,0.08,0.1
-86,1,0.23,0.1
-84,1,0.49,0.1
-82,1,0.85,0.1
-80,1,1.31,0.1
-75,1,2.93,0.1
-70,1,5.18,0.1
-65,1,7.94,0.1
-60,1,11.08,0.1
-55,1,14.74,0.1
-50,1,18.52,0.1
-45,1,22.63,0.1
-40,1,26.59,0.1
-35,1,30.41,0.1
-30,1,34.13,0.1
-25,1,37.53,0.1
-20,1,40.35,0.1
-15,1,42.53,0.1
-10,1,46.64,0.1
-8,1,47.16,0.1
-6,1,47.61,0.1
-4,1,47.81,0.1
-2,1,47.97,0.1
0,1,48.12,0.1
2,1,48.03,0.1
4,1,47.97,0.1
6,1,47.44,0.1
8,1,47.04,0.1
10,1,46.44,0.1
15,1,41.84,0.1
20,1,39.50,0.1
25,1,36.80,0.1
30,1,33.78,0.1
35,1,30.46,0.1
40,1,27.58,0.1
45,1,23.40,0.1
50,1,19.36,0.1
55,1,15.23,0.1
60,1,11.62,0.1
65,1,8.15,0.1
70,1,5.36,0.1
75,1,3.03,0.1
80,1,1.34,0.1
82,1,0.87,0.1
84,1,0.48,0.1
86,1,0.23,0.1
88,1,0.07,0.1
90,1,0.04,0.1
