theta,u_theta,I,u_I
-90,1,0.10,0.1
-85,1,0.20,0.1
-80,1,0.87,0.1
-75,1,2.08,0.1
-70,1,3.87,0.1
-65,1,6.13,0.1
-60,1,8.68,0.1
-55,1,11.64,0.1
-50,1,14.87,0.1
-45,1,18.24,0.1
-40,1,21.63,0.1
-35,1,24.86,0.1
-30,1,28.06,0.1
-25,1,31.03,0.1
-20,1,33.41,0.1
-15,1,35.47,0.1
-10,1,37.24,0.1
-5,1,38.12,0.1
0,1,38.71,0.1
5,1,38.51,0.1
10,1,37.70,0.1
15,1,36.46,0.1
20,1,34.39,0.1
25,1,31.98,0.1
30,1,29.55,0.1
35,1,26.62,0.1
40,1,23.35,0.1
45,1,19.91,0.1
50,1,16.52,0.1
55,1,13.30,0.1
60,1,10.21,0.1
65,1,7.43,0.1
70,1,4.96,0.1
75,1,2.93,0.1
80,1,1.41,0.1
85,1,0.45,0.1
90,1,0.07,0.1
