h,u_h,t,u_t
20,0.1,3.782,0
20,0.1,3.944,0
20,0.1,3.838,0
20,0.1,3.944,0
20,0.1,3.890,0
20,0.1,3.831,0
20,0.1,3.908,0
20,0.1,3.886,0
20,0.1,3.888,0
20,0.1,3.953,0
30,0.1,5.040,0
30,0.1,4.892,0
30,0.1,4.904,0
30,0.1,4.999,0
30,0.1,4.833,0
30,0.1,4.892,0
30,0.1,4.997,0
30,0.1,4.978,0
30,0.1,4.929,0
30,0.1,4.986,0
40,0.1,5.883,0
40,0.1,5.860,0
40,0.1,5.850,0
40,0.1,5.873,0
40,0.1,5.868,0
40,0.1,5.843,0
40,0.1,5.885,0
40,0.1,5.884,0
40,0.1,5.911,0
40,0.1,5.823,0
50,0.1,6.577,0
50,0.1,6.646,0
50,0.1,6.616,0
50,0.1,6.491,0
50,0.1,6.586,0
50,0.1,6.534,0
50,0.1,6.506,0
50,0.1,6.431,0
50,0.1,6.400,0
50,0.1,6.567,0
