dt,u_dt,t,u_t
99.9,0.1,3.764,0
99.9,0.1,3.653,0
99.9,0.1,3.834,0
99.9,0.1,3.664,0
99.9,0.1,3.712,0
99.9,0.1,3.745,0
99.9,0.1,3.683,0
99.9,0.1,3.739,0
99.9,0.1,3.691,0
99.9,0.1,3.650,0
178.5,0.1,4.143,0
178.5,0.1,4.072,0
178.5,0.1,4.198,0
178.5,0.1,4.112,0
178.5,0.1,4.182,0
178.5,0.1,4.281,0
178.5,0.1,4.123,0
178.5,0.1,4.050,0
178.5,0.1,4.180,0
178.5,0.1,4.250,0
258.6,0.1,4.903,0
258.6,0.1,4.887,0
258.6,0.1,4.667,0
258.6,0.1,4.793,0
258.6,0.1,4.685,0
258.6,0.1,4.751,0
258.6,0.1,4.776,0
258.6,0.1,4.818,0
258.6,0.1,4.798,0
258.6,0.1,4.773,0
339.0,0.1,5.595,0
339.0,0.1,5.493,0
339.0,0.1,5.438,0
339.0,0.1,5.647,0
339.0,0.1,5.536,0
339.0,0.1,5.461,0
339.0,0.1,5.568,0
339.0,0.1,5.769,0
339.0,0.1,5.448,0
339.0,0.1,5.568,0
