m,u_m,t,u_t
99.8,0.1,5.040,0
99.8,0.1,4.892,0
99.8,0.1,4.904,0
99.8,0.1,4.999,0
99.8,0.1,4.833,0
99.8,0.1,4.892,0
99.8,0.1,4.997,0
99.8,0.1,4.978,0
99.8,0.1,4.929,0
99.8,0.1,4.986,0
119.7,0.1,4.472,0
119.7,0.1,4.480,0
119.7,0.1,4.500,0
119.7,0.1,4.592,0
119.7,0.1,4.413,0
119.7,0.1,4.601,0
119.7,0.1,4.582,0
119.7,0.1,4.632,0
119.7,0.1,4.572,0
119.7,0.1,4.492,0
139.6,0.1,4.255,0
139.6,0.1,4.273,0
139.6,0.1,4.218,0
139.6,0.1,4.218,0
139.6,0.1,4.237,0
139.6,0.1,4.021,0
139.6,0.1,4.176,0
139.6,0.1,4.105,0
139.6,0.1,4.269,0
139.6,0.1,4.227,0
159.6,0.1,3.925,0
159.6,0.1,4.002,0
159.6,0.1,3.848,0
159.6,0.1,3.916,0
159.6,0.1,3.835,0
159.6,0.1,3.961,0
159.6,0.1,3.903,0
159.6,0.1,3.973,0
159.6,0.1,3.857,0
159.6,0.1,3.982,0
